Zone,Type,Location,Overrides,AP START 1
130.2,Valve Tamper,3FL Stairs,,
131.1,Damper,4FL By Elev,,
132.1,Waterflow,4FL Stairs,,
132.2,Valve Tamper,4FL Stairs,,
133.1,Damper,5FL By Elev,,
134.1,Waterflow,5FL Stairs,,
134.2,Valve Tamper,5FL Stairs,,
135.1,Damper,6FL By Elev,,
136.1,Waterflow,6FL Stairs,,
136.2,Valve Tamper,6FL Stairs,,
137.1,Damper,7FL By Elev,,
138.1,Waterflow,7FL Stairs,,
138.2,Valve Tamper,7FL Stairs,,
139.1,Damper,8FL By Elev,,
140.1,Waterflow,8FL Stairs,,
140.2,Valve Tamper,8FL Stairs,,
141.1,Damper,9FL By Elev,,
142.1,Waterflow,9FL Stairs,,
142.2,Valve Tamper,9FL Stairs,,
145.1,Damper,10FL ExitByElev,,
146.1,Section Valve,10FL Stairs A,,
147.1,Waterflow,10FL Stairs B,,
147.2,Valve Tamper,10FL Stairs B,,
148.1,Section Valve,10FL Stairs B,,
149.1,Damper,11FL ExitByElev,,
150.1,Waterflow,11FL Stairs B,,
150.2,Valve Tamper,11FL Stairs B,,
153.1,Damper,12FL ExitByElev,,
154.1,Waterflow,12FL Stairs B,,
154.2,Valve Tamper,12FL Stairs B,,
157.1,Damper,13FL ExitByElev,,
158.1,Waterflow,13FL Stairs B,,
158.2,Valve Tamper,13FL Stairs B,,
161.1,Damper,14FL ExitByElev,,
162.1,Waterflow,14FL Stairs B,,
162.2,Valve Tamper,14FL Stairs B,,
165.1,Damper,15FL ExitByElev,,
166.1,Waterflow,15FL Stairs B,,
166.2,Valve Tamper,15FL Stairs B,,
169.1,Damper,16FL ExitByElev,,
170.1,Waterflow,16FL Stairs B,,
170.2,Valve Tamper,16FL Stairs B,,
173.1,Damper,17FL ExitByElev,,
174.1,Waterflow,17FL Stairs B,,
174.2,Valve Tamper,17FL Stairs B,,
177.1,Damper,18FL ExitByElev,,
178.1,Waterflow,18FL Stairs B,,
178.2,Valve Tamper,18FL Stairs B,,
181.1,Damper,19FL ExitByElev,,
182.1,Waterflow,19FL Stairs B,,
182.2,Valve Tamper,19FL Stairs B,,
185.1,Damper,20FL ExitByElev,,
186.1,Waterflow,20FL Stairs B,,
186.2,Valve Tamper,20FL Stairs B,,
189.1,Damper,21FL ExitByElev,,
190.1,Waterflow,21FL Stairs B,,
190.2,Valve Tamper,21FL Stairs B,,
191.1,Section Valve,21FL Stairs B,,
192.1,Section Valve,21FL Stairs A,,
193.1,Damper,22FL ExitByElev,,
194.1,Waterflow,22FL Stairs B,,
194.2,Valve Tamper,22FL Stairs B,,
197.1,Damper,23FL ExitByElev,,
198.1,Waterflow,23FL Stairs B,,
198.2,Valve Tamper,23FL Stairs B,,
201.1,Damper,24FL ExitByElev,,
202.1,Waterflow,24FL Stairs B,,
202.2,Valve Tamper,24FL Stairs B,,
205.1,Damper,25FL ExitByElev,,
206.1,Waterflow,25FL Stairs B,,
